Dataset,ave_n_neighbors,n_observations,n_features,n_classes,Endpoint,Imbalance,Task,Metadata,seed,n_neighbors,p,weight,score,
credit_a,,,,,,,,,3,22,1,d,0.6879,
credit_a,,,,,,,,,4,22,1,d,0.6879,
,,,,,,,,,5,22,1,d,0.6879,
,,,,,,,,,6,22,1,d,0.6879,
,,,,,,,,,7,22,1,d,0.6879,
,,,,,,,,,8,22,1,d,0.6879,
,,,,,,,,,9,22,1,d,0.6879,
,,,,,,,,,10,22,1,d,0.6879,
,,,,,,,,,,,,,,
credit_g,37.8,1000,20,2,binary,0.16,classification,,1,12,1,d,0.66,
credit_g,,,,,,,,,2,55,1,u,0.724,
credit_g,,,,,,,,,3,12,1,d,0.66,
credit_g,,,,,,,,,4,55,1,u,0.724,
,,,,,,,,,5,12,1,d,0.66,
,,,,,,,,,6,55,1,u,0.724,
,,,,,,,,,7,12,1,d,0.66,
,,,,,,,,,8,55,1,u,0.724,
,,,,,,,,,9,55,2,u,0.724,
,,,,,,,,,10,55,1,u,0.724,
,,,,,,,,,,,,,,
crx,6,690,15,2,binary,0.01,classification,,1,6,1,u,0.6994,
crx,,,,,,,,,2,6,1,u,0.6994,
crx,,,,,,,,,3,6,1,u,0.6994,
crx,,,,,,,,,4,6,1,u,0.6994,
,,,,,,,,,5,6,1,u,0.6994,
,,,,,,,,,6,6,1,u,0.6994,
,,,,,,,,,7,6,1,u,0.6994,
,,,,,,,,,8,6,1,u,0.6994,
,,,,,,,,,9,6,1,u,0.6994,
,,,,,,,,,10,6,1,u,0.6994,
,,,,,,,,,,,,,,
dermatology,7,366,34,6,categorical,0.04,classification,,1,7,1,d,0.9348,
dermatology,,,,,,,,,2,7,1,d,0.9348,
dermatology,,,,,,,,,3,7,1,d,0.9348,
dermatology,,,,,,,,,4,7,1,d,0.9348,
,,,,,,,,,5,7,1,d,0.9348,
,,,,,,,,,6,7,1,d,0.9348,
,,,,,,,,,7,7,1,d,0.9348,
,,,,,,,,,8,7,1,d,0.9348,
,,,,,,,,,9,7,1,d,0.9348,
,,,,,,,,,10,7,1,d,0.9348,
,,,,,,,,,,,,,,
diabetes,33,768,8,2,binary,0.09,classification,,1,33,1,u,0.7708,
diabetes,,,,,,,,,2,33,1,u,0.7708,
diabetes,,,,,,,,,3,33,1,u,0.7708,
diabetes,,,,,,,,,4,33,1,u,0.7708,
,,,,,,,,,5,33,1,u,0.7708,
,,,,,,,,,6,33,1,u,0.7708,
,,,,,,,,,7,33,1,u,0.7708,
,,,,,,,,,8,33,1,u,0.7708,
,,,,,,,,,9,33,1,u,0.7708,
,,,,,,,,,10,33,1,u,0.7708,
,,,,,,,,,,,,,,
ecoli,13,327,7,5,categorical,0.11,classification,,1,13,2,u,0.878,
ecoli,,,,,,,,,2,13,2,u,0.878,
ecoli,,,,,,,,,3,13,2,u,0.878,
ecoli,,,,,,,,,4,13,2,u,0.878,
,,,,,,,,,5,13,2,u,0.878,
,,,,,,,,,6,13,2,u,0.878,
,,,,,,,,,7,13,2,u,0.878,
,,,,,,,,,8,13,2,u,0.878,
,,,,,,,,,9,13,2,u,0.878,
,,,,,,,,,10,13,2,u,0.878,
,,,,,,,,,,,,,,
flags,5,178,43,5,categorical,0.04,classification,,1,5,1,d,0.4222,
flags,,,,,,,,,2,5,1,d,0.4222,
flags,,,,,,,,,3,5,1,d,0.4222,
flags,,,,,,,,,4,5,1,d,0.4222,
,,,,,,,,,5,5,1,d,0.4222,
,,,,,,,,,6,5,1,d,0.4222,
,,,,,,,,,7,5,1,d,0.4222,
,,,,,,,,,8,5,1,d,0.4222,
,,,,,,,,,9,5,1,d,0.4222,
,,,,,,,,,10,5,1,d,0.4222,
,,,,,,,,,,,,,,
german,55,1000,20,2,binary,0.16,classification,,1,55,2,u,0.72,
german,,,,,,,,,2,55,1,u,0.72,
german,,,,,,,,,3,55,1,u,0.72,
german,,,,,,,,,4,55,1,u,0.72,
,,,,,,,,,5,55,2,u,0.72,
,,,,,,,,,6,55,1,u,0.72,
,,,,,,,,,7,55,1,u,0.72,
,,,,,,,,,8,55,1,u,0.72,
,,,,,,,,,9,55,2,u,0.72,
,,,,,,,,,10,55,1,u,0.72,
,,,,,,,,,,,,,,
glass,1.5,205,9,5,categorical,0.11,classification,,1,1,1,d,0.75,
glass,,,,,,,,,2,1,1,d,0.75,
glass,,,,,,,,,3,2,1,d,0.75,
glass,,,,,,,,,4,2,1,d,0.75,
,,,,,,,,,5,1,1,d,0.75,
,,,,,,,,,6,1,1,d,0.75,
,,,,,,,,,7,2,1,d,0.75,
,,,,,,,,,8,2,1,d,0.75,
,,,,,,,,,9,2,1,d,0.75,
,,,,,,,,,10,1,1,u,0.75,
,,,,,,,,,,,,,,
glass2,1.7,163,9,2,binary,0,classification,,1,1,1,d,0.8293,
glass2,,,,,,,,,2,1,1,d,0.8293,
glass2,,,,,,,,,3,2,1,d,0.8293,
glass2,,,,,,,,,4,2,1,d,0.8293,
,,,,,,,,,5,1,1,d,0.8293,
,,,,,,,,,6,1,1,d,0.8293,
,,,,,,,,,7,2,1,d,0.8293,
,,,,,,,,,8,2,1,d,0.8293,
,,,,,,,,,9,2,1,d,0.8293,
,,,,,,,,,10,3,1,d,0.7805,
,,,,,,,,,,,,,,
haberman,27.6,306,3,2,binary,0.22,classification,,1,26,2,d,0.7013,
haberman,,,,,,,,,2,26,2,d,0.7013,
haberman,,,,,,,,,3,30,2,d,0.7402,
haberman,,,,,,,,,4,30,2,d,0.7402,
,,,,,,,,,5,26,2,d,0.7013,
,,,,,,,,,6,26,2,d,0.7013,
,,,,,,,,,7,30,2,d,0.7403,
,,,,,,,,,8,30,2,d,0.7403,
,,,,,,,,,9,26,2,d,0.7013,
,,,,,,,,,10,26,2,d,0.7013,
,,,,,,,,,,,,,,
hayes_roth,9,160,4,3,categorical,0.04,classification,,1,9,1,d,0.7,
hayes_roth,,,,,,,,,2,9,1,d,0.7,
hayes_roth,,,,,,,,,3,9,1,d,0.7,
hayes_roth,,,,,,,,,4,9,1,d,0.7,
,,,,,,,,,5,9,1,d,0.7,
,,,,,,,,,6,9,1,d,0.7,
,,,,,,,,,7,9,1,d,0.7,
,,,,,,,,,8,9,1,d,0.7,
,,,,,,,,,9,9,1,d,0.7,
,,,,,,,,,10,9,1,d,0.7,
,,,,,,,,,,,,,,
heart_c,7,303,13,2,binary,0.01,classification,,1,7,1,u,0.6316,
heart_c,,,,,,,,,2,7,1,u,0.6316,
heart_c,,,,,,,,,3,7,1,u,0.6316,
heart_c,,,,,,,,,4,7,1,u,0.6316,
,,,,,,,,,5,7,1,u,0.6316,
,,,,,,,,,6,7,1,u,0.6316,
,,,,,,,,,7,7,1,u,0.6316,
,,,,,,,,,8,7,1,u,0.6316,
,,,,,,,,,9,7,1,u,0.6316,
,,,,,,,,,10,7,1,u,0.6316,
